IdTipoServico,Descricao,Garantia,CaracteristicaServico
1;CONTROLE INTEGRADO DE PRAGAS;90;CONTROLE DE PRAGAS
2;TRATAMENTO PARA CUPINS;360;SOLO/ARBORÍCOLA/MADEIRA SECA
3;Tratamento Para Ácaros;0;"Tratamento de ácaros e fungos "
4;Captura e Contenção de Animais Domesticos;0;CAPTURA E CONTENÇÃO DE ANIMAIS DOMESTICOS
5;HIGIENIZAÇÃO DE RESERVATÓRIO;180;HIGIENIZAÇÃO DE RESERVATÓRIO DE ÁGUA POTÁVEL
6;Sanitização de Ambientes (Covid-19);0;Sanitização para Covid-19
8;Manutenção de Áreas Verdes;0;Manutenção das áreas verdes
9;Controle de Ratos;30;Controle de Ratos
10;Poda e Erradicação de Árvores;0;Poda e Erradicação de Árvores
11;Corte de Grama;0;Corte de Grama
12;Controle de Aranhas;90;Controle de Aranhas
13;Manejo de Abelhas, Vespa e Moribundo;0;Manejo de Abelhas
15;Manejo de Animais Silvestres;0;Manejo de animais Silvestres
16;Manejo de Morcegos;0;Manejo de Morcegos
17;Manejo de Pássaros e Pombos;0;Manejo de Pássaros e Pombos
18;Controle de Escorpiões;0;Controle de Escorpiões
19;Controle de Formiga de Jardim;90;Controle de Formiga de Jardim
20;Locação de mão de Obra (Facilites);0;Portaria, Vigia, Serviços Gerais e recepcionista
21;Resgate;0;Locação da equipe de resgate
22;CONTROLE DE INSETOS ALADOS;30;"INSTALAÇÃO E/OU MONITORAMENTO DE ARM. LUMINOSAS "
23;Lavagem de Reservatórios;180;NULL
24;"Supressão / Erradicação ";0;NULL
25;Poda de Árvores;0;NULL
26;Capina Química TOTAL;0;NULL
27;Capina química SELETIVA;0;NULL
28;Tratamento para Cupin de Madeira;180;Tratamento para Cupin de Madeira
29;Controle de Praga (Industria);30;NULL
30;ASSISTÊNCIA;0;Assistência
31;HIG. DE RESERVATÓRIOS - CLORAGEM;0;CLORAGEM
32;VISTORIA;0;NULL
33;MANEJO DE POMBOS E MORCEGOS;0;NULL
34;OUTROS;0;NULL
35;DESRATIZAÇÃO;0;CONTROLE DE ROEDORES
36;CORTESIA;0;CONTROLE INTEGRADO DE PRAGAS
37;VOUCHER;0;NULL
38;HIGIENIZAÇÃO DE RESERVATÓRIOS - VOUCHER;0;NULL
